DATE,Department,DEN,Block Section/ Yard,CORRIDOR block section,corridor block period,UP/ DN Line,Block demanded in Hrs(Day or Night),Demanded time (From),Demanded time (To),Block demanded in(MINS),Permitted time (From) No need to fill,Permitted time (To) No need to fill,BLOCK PERMITTED MINS,Location - FROM,Location - TO,Nautre of work & Quantum of Output Planned,Need for disconnection (If Yes Track Circuit and Signals Affected) Please give specific details without fail,Caution required,Caution required (if yes with relaxation date dd:mm:yyyy),Power Block & its Elementary Section. Please give specific details without fail,"Resources needed (M/C, Manpower, Supervisors) Include Crane,JCB,porcelain or any other equipment also",Whether site preparation & resources ready,Supervisors to be deputed (JE/SSE with section),Coaching repercussions/ Movement Repercussions,"Actual Block Granted From
  No need to fill","Actual Block Granted To
  No need to fill","Actual block duration MINS
  No need to fill","Over all % granted for the day
  No need to fill","Output as per Manual
  No need to fill","Actual Output
 ","% Output vs Planned
  No need to fill","% Output
 vs
 Planned",PROGRESS,,,,LOCATION,SECTION,ARB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,JTJ-YD,KPD-JTJ,,ED/UP,,13:15,16:15,180,13:15,16:15,180,,,T-28 ( 902 ),,,,,,,,,13:15,16:15,180,,,1 UNIT,,,,,,,PT.63B,JTJ,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,CGL-YD,MSB-VM,,YD,,13:00,15:00,120,13:40,14:40,60,,,MFI 56925,,,,,,,,,13:40,14:40,60,,,0.7 UNIT,,,,,,,PT.150A,CGL,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,KPD-YD,TRL-KPD,,RD-7,,10:00,11:30,90,10:00,11:30,90,,,UTV 47,,,,,,,,,10:00,11:30,90,,,37 RAILS UNLOADED,,,,,,,RD-7,KPD,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,SVUR-KPD,TRL-KPD,,DN,,13:55,14:55,60,13:55,14:55,60,,,UTV 47,,,,,,,,,13:55,14:55,60,,,31 RAILS LOADED,,,,,,,,KPD,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,KPD-YD,TRL-KPD,,DN,,14:00,16:00,120,14:10,15:00,50,,,MFI 56924,,,,,,,,,14:10,15:00,50,,,1.0 UNIT + 100 SLEEPERS,,,,,,,PT.127A,KPD,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,MAS-YD,MAS-TRL,,YD,,00:15,03:15,180,00:15,03:15,180,,,MANUAL PACKING,,,,,,,,,00:15,03:15,180,,,SWITCH  & LEAD PORTION MANUAL PACKING WORK DONE,,,,,,,"PT/135B , 136A",WST-A,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,VPY-PEW,MAS-TRL,,DN/SLOW,,00:30,03:30,180,00:50,02:50,120,,,MFBW,,,,,,,,,00:50,02:50,120,,,16 WELDS,,,,,,,4/38-5/02,WST-A,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,EAST,KOK-YD,MAS-GDR,,DN/SLOW,,01:50,03:20,90,01:50,03:20,90,,,WELDING WORK,,,,,,,,,01:50,03:20,90,,,1 WELD,,,,,,,YD,TVT,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,AJJ-YD,TRL-KPD,,EAST-YD,,00:10,04:00,230,00:10,04:00,230,,,WELDING WORK,,,,,,,,,00:10,04:00,230,,,2 WELDS,,,,,,,EAST-YD,AJJ,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,AJJ-YD,TRL-KPD,,"RD-3,4",,00:10,04:00,230,00:10,04:00,230,,,RAIL RENEWAL,,,,,,,,,00:10,04:00,230,,,13 M + 19M + 12.40 METERS RR,,,,,,,"RD-3,4",AJJ,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,TBM-YD,MSB-VM,,YD,,00:35,02:00,85,00:35,02:00,85,,,RR / CMS / G.JOINT,,,,,,,,,00:35,02:00,85,,,1 G.JOINT + 1 CMS XING + 2 RAILS RENEWED,,,,,,,PT.157B,TBM,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,MKK-PV,SUBARBAN,,DN/SUB,,00:30,03:30,180,00:35,03:15,160,,,MFBW,,,,,,,,,00:35,03:15,160,,,20 WELDS,,,,,,,,TBM,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,MKK-PV,SUBARBAN,,DN/SUB,,00:30,03:30,180,00:35,03:15,160,,,MANUAL PACKING,,,,,,,,,00:35,03:15,160,,,100 METERS MANUAL PACKING WORK DONE,,,,,,,,TBM,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,PDD-YD,AJJ-RU,,UP/LOOP,,00:40,05:00,260,00:40,05:00,260,,,MFBW,,,,,,,,,00:40,05:00,260,,,22 WELDS,,,,,,,,PUT,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,TRL-YD,MAS-TRL,,DN/F,,10:00,12:05,125,10:00,12:05,125,,,WELDING WORK,,,,,,,,,10:00,12:05,125,,,2 WELDS,,,,,,,PT.62B,TRL-A,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,ABU-VLK,MAS-TRL,,UP/F,,10:00,12:30,150,17:20,18:35,75,,,DSW / WW,,,,,,,,,17:20,18:35,75,,,500 METERS,,,,,,,10/940-11/440,AVD,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,THL-MCN,TRL-KPD,,UP,,14:30,16:30,120,15:25,16:25,60,,,DSW / WW,,,,,,,,,15:25,16:25,60,,,1000 METERS,,,,,,,116/200-115/200,KPD,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,KPD-YD,TRL-KPD,,BRANCH LINE,,09:25,11:50,145,09:25,11:50,145,,,WELDING WORK,,,,,,,,,09:25,11:50,145,,,5 WELDS,,,,,,,RD-7,KPD,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,CGL-PALR,AJJ-CGL,,SL,,12:20,14:30,130,12:20,14:30,130,,,DSW / WW,,,,,,,,,12:20,14:30,130,,,1000 METERS + 2 WELDS,,,,,,,8/800-9/800,CGL,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,PUDI-YD,AJJ-RU,,DN,,13:00,15:00,120,16:56,17:30,34,,,DSW / WW,,,,,,,,,16:56,17:30,34,,,700 METERS,,,,,,,125/100-800,PUT,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,MLMR-MMK,MSB-VM,,UP,,13:00,15:00,120,13:35,14:35,60,,,DSW / WW,,,,,,,,,13:35,14:35,60,,,700 METERS,,,,,,,92/200-91/500,CGL,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,VPY-VLK,MAS-TRL,,DN/F,,11:10,13:00,110,11:10,13:00,110,,,DSW / WW,,,,,,,,,11:10,13:00,110,,,2 WELDS,,,,,,,8/24-26A,WST-A,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,EAST,TNP-YD,MAS-GDR,,UP/F,,15:05,16:40,95,15:05,16:40,95,,,WELDING WORK,,,,,,,,,15:05,16:40,95,,,2 WELDS,,,,,,,PT.51B,TVT,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,JTJ-YD,KPD-JTJ,,ED-DN,,13:55,15:25,90,13:55,15:25,90,,,RR / WW,,,,,,,,,13:55,15:25,90,,,6.23 METERS RR + 2 WELDS,,,,,,,216/30-217/02,JTJ,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,MDVE-CTRE,TRL-KPD,,UP,,16:05,17:05,60,16:05,17:05,60,,,DSW / WW,,,,,,,,,16:05,17:05,60,,,700 METERS,,,,,,,82/050-81/350,WJR,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,RU-PUDI,AJJ-RU,,UP,,15:50,16:30,40,15:50,16:30,40,,,DSW / WW,,,,,,,,,15:50,16:30,40,,,650 METERS + TFR WORK DONE,,,,,,,130/650-00,PUT,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,PCKM-AB,KPD-JTJ,,DN,,14:45,15:55,70,14:45,15:55,70,,,DSW / WW,,,,,,,,,14:45,15:55,70,,,820 METERS,,,,,,,179/100-920,AB,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,WEST,AJJ-YD,TRL-KPD,,EAST-YD,,23:35,03:30,235,23:35,03:30,235,,,WELDING WORK,,,,,,,,,23:35,03:30,235,,,6 WELDS,,,,,,,RD-5,AJJ,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,PAB-YD,MAS-TRL,,UP/SLOW,,23:40,02:25,165,23:40,02:25,165,,,RR / WW,,,,,,,,,23:40,02:25,165,,,6.8 METERS RR + 3 WELDS,,,,,,,26/21-19,AVD,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,CGL-YD -SKL,MSB-VM,,UP,,23:50,01:12,82,23:50,01:12,82,,,BALLAST UNLOADING,,,,,,,,,23:50,01:12,82,,,11 BOB'S UNLOADED,,,,,,,60/700-400       53/800-51/600,CGL,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,MS-YD,MSB-VM,,ENGINE LINE,,23:25,01:30,125,23:25,01:30,125,,,WELDING WORK,,,,,,,,,23:25,01:30,125,,,2 WELDS,,,,,,,MS-B/1055-1056,MS,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,RPM-YD,MAS-TRL,,A LINE,,23:40,01:50,130,23:40,01:50,130,,,MFI 57110,,,,,,,,,23:40,01:50,130,,,1.0 UNIT + 300 SLEEPERS,,,,,,,PT.108B,WST-B,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,VLK-YD,MAS-TRL,,SIDING,,22:45,23:45,60,22:45,23:45,60,,,UTV 66,,,,,,,,,22:45,23:45,60,,,26 RAILS UNLOADED ,,,,,,,YD,WST-A,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,EAST,KOK-YD,MAS-GDR,,DN/GOODS,,23:30,00:15,45,23:30,00:15,45,,,UTV 164,,,,,,,,,23:30,00:15,45,,,30 POINT PSC LOADED,,,,,,,YD,TVT,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,TO-YD,TRL-KPD,,UP/SLOW,,23:25,02:05,160,23:25,02:05,160,,,BRM R32,,,,,,,,,23:25,02:05,160,,,3150 METERS,,,,,,,58/00-56/950,TRL-B,ADDITIONAL BLOCK,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,CENTRAL,ABU-VLK,MAS-TRL,,UP/FAST,,23:15,02:00,165,23:15,02:00,165,,,DUO 8113,,,,,,,,,23:15,02:00,165,,,3370 SLEEPERS,,,,,,,14/700-12/800,AVD,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,EAST,NYP-DVR,MAS-GDR,,UP,,23:15,00:45,90,23:15,00:45,90,,,SBCM 57152,,,,,,,,,23:15,00:45,90,,,300 METERS,,,,,,,106/600-300,GDR,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,MTL-PEI,MSB-VM,,DN,,22:30,00:30,120,22:30,00:00,90,,,DUO 8078,,,,,,,,,22:30,00:00,90,,,1600 SLEEPERS,,,,,,,129/250-130/100,TMV,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,MTL-PEI,MSB-VM,,DN,,22:30,00:30,120,22:30,00:00,90,,,DGS 353,,,,,,,,,22:30,00:00,90,,,850 METERS,,,,,,,129/250-130/100,TMV,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,EAST,PON-YD,MAS-GDR,,UP,,23:30,03:30,240,,,0,,,BCM 358 ,,,,,,,,,,,0,,,LB NOT PERMITTED DUE TO LATE EXP 12376 & 13352,,,,,,,,PON,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,CGL-YD,,,,,,,0,,,0,,,BCM 704,,,,,,,,,,,0,,,NON BLOCK DAY,,,,,,,,CGL,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,ENGG,SOUTH,CGL-YD,,,,,,,0,,,0,,,DGS 350,,,,,,,,,,,0,,,LB PERMITTED AFTER 00.00HRS,,,,,,,,CGL,ADDITIONAL BLOCK,CORRIDOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-03-2024,,,,,,,,,,0,,,0,,,UNIMAT 8403,,,,,,,,,,,0,,,SHEDULED MAINTANANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,WEST,LTI YD,KPD-JTJ,,DN,,13:00,15:00,120,13:30,14:50,80,,,MFI 56924,,,,,,,,,13:30,14:50,80,,,950 SLEEPERS ,,,,,,,"136/800-136/700,136/300-500",KPD,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,SOUTH,CGL YD,MS-VM,,DN,,13:00,15:00,120,13:30,14:30,60,,,MFI 56925,,,,,,,,,13:30,14:30,60,,,0.7 UNIT+100 SLEEPERS ,,,,,,,PT NO 149 B,CGL,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,WEST,KPD  YD,TRL-KPD,,SIDING,,10:00,10:30,30,10:00,10:30,30,,,UTV 047,,,,,,,,,10:00,10:30,30,,,02 NOS G.JNT+04 NOS RAILS LOADING ,,,,,,,,KPD,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,WEST,KPD  YD,TRL-KPD,,RD 7,,11:40,12:40,60,11:40,12:40,60,,,UTV 047,,,,,,,,,11:40,12:40,60,,,35 RAILS & 02 G.JNTS UNLOADED ,,,,,,,,KPD,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,WEST,LTI YD,KPD-JTJ,,RD 4 ,,13:05,13:40,35,13:05,13:40,35,,,UTV 047,,,,,,,,,13:05,13:40,35,,,06 RAILS LOADED & UNLOADED ,,,,,,,,KPD,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,SOUTH,MTL-PEI,MS-VM,,DN,,02:00,04:00,120,02:10,04:10,120,,,DUO 8078,,,,,,,,,02:10,04:10,120,,,2850 SLEEPERS ,,,,,,,140/500-141/400,TMV,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,SOUTH,MTL-PEI,MS-VM,,DN,,02:00,04:00,120,02:10,04:10,120,,,DGS 353,,,,,,,,,02:10,04:10,120,,,900 MTRS,,,,,,,140/500-141/400,TMV,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,EAST,DVR-NYP,MAS-GDR,,DN,,01:40,04:40,180,01:40,04:40,180,,,SBCM 57152,,,,,,,,,01:40,04:40,180,,,800 MTRS,,,,,,,106/300-105/500,GDR,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,CENTRAL,VLK-ABU,MAS-TRL,,DN/SLOW,,02:00,04:00,120,02:15,03:45,90,,,DUO 8113,,,,,,,,,02:15,03:45,90,,,1260 SLEEPERS ,,,,,,,11/500-10/800,AVD,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,SOUTH,STM-MKK,MS-VM,,YD,,00:10,01:00,50,00:10,01:00,50,,,UTV 024,,,,,,,,,00:10,01:00,50,,,4 CMS XING UNLOADED ,,,,,,,,MS,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-03-2024,ENGG,SOUTH,MKK-MS,MS-VM,,YD,,01:10,02:30,80,01:10,02:30,80,,,UTV 024,,,,,,,,,01:10,02:30,80,,,45 PSC LOADED +1 CMS XING UNLOADED ,,,,,,,06/300-05/200,MS,ADDITIONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
